respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.15430319877848164,0.29564302485646926
26708,0.02682977868762148,0.03226039583321839
26710,0.5598373769679766,0.883569034787181
26711,0.3901444153588193,0.5450925073453172
26712,0.6946114498594538,0.9502290027481491
26714,0.15411644850468564,0.24206124984992342
26716,0.3360009594535222,0.8988230391181645
26718,0.3355581339320077,0.45698104529589356
26719,0.12350479679436213,0.8983622476457915
26721,0.3381730067072731,0.3761332772500374
26722,0.04428060219353127,0.08446018898088707
26723,0.7612827106147294,0.8363981101428039
26727,0.40822077637940185,0.8298226247750716
26728,0.3647302908973281,0.6293130443139346
26731,0.0231425177904365,0.3933945375308191
26733,0.9584021866530629,0.9634222002197829
26734,0.921650046035203,0.46206755467730726
26736,0.11303795741333403,0.18756592480458373
26737,0.09557283889196491,0.13067036082629818
26738,0.8092726966276992,0.9239422271627291
26739,0.12819920584500424,0.1964751735179596
26740,0.22033802232204555,0.1483581141964849
26742,0.2074975867439111,0.4845490948222587
26749,0.08032333764979432,0.6769306861623987
26751,0.5570505650412662,0.7670857398171012
26752,0.04159020459053855,0.02449849408970846
26753,0.40029921880370384,0.6921748710839118
26754,0.08474676006730693,0.4449895066738535
26756,0.019192744688879222,0.0473256272816571
26763,0.9557480369549933,0.9872691410217076
26764,0.9762408418252562,0.9776187713360514
26766,0.1775146333613938,0.16402522861780472
26767,0.8551339865110232,0.7634848072092711
26772,0.11730096736176354,0.4521710442472743
26773,0.023938992869738725,0.5283521564540926
26777,0.1922394618334707,0.9525782027177039
26778,0.140822414215823,0.16888071927069995
26779,0.20484441124976926,0.48179838967254596
26782,0.07119985379749161,0.32965680345256543
26789,0.017814160576542677,0.2788673882809572
26791,0.03910805119728014,0.06304851550374718
26793,0.15995083753698025,0.901180050600261
26795,0.08291373131781368,0.9606200904137289
26796,0.06578017683003722,0.07510232646972692
26797,0.11610056878358917,0.6240110217401494
26798,0.33335915759785983,0.25477016295544497
26800,0.041258998660502366,0.9298094528369363
26802,0.11617633313805555,0.18686652102020304
26804,0.031850871462528726,0.061433006163432675
26805,0.0466161400873083,0.17768127056735533
26809,0.6996450869112769,0.11770091799067812
26810,0.026327121971563793,0.0789232916527134
26812,0.1946355232248815,0.8088298674363626
26818,0.12754848346729786,0.2652534437427453
26823,0.5189194668479441,0.5540068455161159
26825,0.4902223975578557,0.7891042652171061
26827,0.03857699681020298,0.12822947044752334
26829,0.8074316435029614,0.9308226237563526
26836,0.27389066758858277,0.5808498076296583
26838,0.12622248076287662,0.37494447331894487
26840,0.08996180477897198,0.12647593511360797
26847,0.3791645914954188,0.07594860213615459
26850,0.6408679536165053,0.618558900330461
26851,0.03637345557331894,0.058408090463755655
26857,0.5687713922639576,0.23305059790326352
26865,0.019037402827514552,0.03618682462645265
26867,0.19135975705802682,0.17614936816830093
26868,0.9209909470968857,0.962760601565042
26872,0.036126371316320675,0.2598248116635488
26878,0.15389769528147787,0.24264079092470436
26882,0.0845172526548322,0.1362792185928423
26883,0.09673201456444788,0.2759092757687011
